restaurant_id,restaurant_name,region_id,category_id,price_tier,rating_avg,prep_time_avg_min,is_active,created_at,updated_at
30,Anchor Grill,14,5,Low,3.53,21,True,2021-11-17 00:00:00,2026-05-13 17:41:05.860835
31,Smoke House,16,6,Low,4.74,16,True,2022-09-29 00:00:00,2026-05-13 17:41:05.860852
32,,4,6,High,3.55,21,True,2020-12-20 00:00:00,2026-05-13 17:41:05.860869
33,,9,6,High,3.79,20,True,2023-05-19 00:00:00,2026-05-13 17:41:05.860887
34,Meat Masters,8,6,High,4.17,18,True,2023-04-13 00:00:00,2026-05-13 17:41:05.860903
35,,7,6,Mid,3.49,32,True,2023-01-25 00:00:00,2026-05-13 17:41:05.860920
36,Flame & Fork,7,6,High,4.65,30,True,2022-04-22 00:00:00,2026-05-13 17:41:05.860937
37,Koshary El Prince,4,7,Low,4.62,14,True,2021-11-19 00:00:00,2026-05-13 17:41:05.860954
38,Koshary Station,4,7,Mid,3.41,9,True,2021-10-12 00:00:00,2026-05-13 17:41:05.860970
39,Egyptian Bowl,10,7,High,4.43,9,True,2019-08-25 00:00:00,2026-05-13 17:41:05.860986
40,Koshary House,15,7,High,4.45,15,True,2021-04-14 00:00:00,2026-05-13 17:41:05.861002
41,Traditional Koshary,14,7,Low,4.66,15,True,2021-01-22 00:00:00,2026-05-13 17:41:05.861019
42,Sweet Tooth,16,8,High,3.38,17,True,2022-10-17 00:00:00,2026-05-13 17:41:05.861036
43,Sugar Rush,5,8,Mid,3.88,19,False,2023-02-27 00:00:00,2026-05-13 17:41:05.861052
44,Dessert Lab,6,8,Low,3.82,13,True,2022-05-03 00:00:00,2026-05-13 17:41:05.861067
45,Candy Corner,13,8,Low,3.6,16,True,2020-07-24 00:00:00,2026-05-13 17:41:05.861083
46,Cake House,9,8,High,4.8,15,True,2022-05-20 00:00:00,2026-05-13 17:41:05.861101
47,Treats & Sweets,16,8,High,3.67,17,True,2020-05-28 00:00:00,2026-05-13 17:41:05.861120
48,Green Bowl,8,9,High,4.8,10,True,2019-04-19 00:00:00,2026-05-13 17:41:05.861139
49,Fresh Kitchen,16,9,High,3.25,12,True,2022-10-23 00:00:00,2026-05-13 17:41:05.861156
50,Salad Bar,10,9,High,4.26,11,True,2021-11-30 00:00:00,2026-05-13 17:41:05.861179
51,Fit Meals,15,9,Low,3.7,17,True,2020-06-19 00:00:00,2026-05-13 17:41:05.861199
52,Clean Eats,18,9,High,3.23,10,False,2023-12-08 00:00:00,2026-05-13 17:41:05.861243
53,Veggie House,13,9,Mid,3.73,16,True,2019-03-15 00:00:00,2026-05-13 17:41:05.861270
54,Shawarma King,18,10,High,4.66,12,True,2019-12-03 00:00:00,2026-05-13 17:41:05.861308
55,Wrap Station,5,10,Mid,4.42,15,True,2022-03-11 00:00:00,2026-05-13 17:41:05.861334
56,Levant Kitchen,18,10,High,4.12,15,True,2023-10-16 00:00:00,2026-05-13 17:41:05.861366
57,Shawarma House,2,10,Mid,3.65,17,False,2022-06-17 00:00:00,2026-05-13 17:41:05.861400
58,Rolling Grill,10,10,Mid,3.3,17,True,2023-09-11 00:00:00,2026-05-13 17:41:05.861434
